Current_Customer_Grade,owns_car,wealth_segment,past_3_years_bike_related_purchases,property_valuation,age,label
6th grade,0,1,26,8,42,8
6th grade,1,1,63,10,25,4
6th grade,1,3,94,9,53,7
6th grade,0,1,64,1,48,5
6th grade,1,1,87,8,27,4
6th grade,1,1,13,3,43,9
6th grade,0,1,67,8,52,1
6th grade,1,3,50,1,55,9
6th grade,0,1,19,7,40,8
6th grade,0,2,93,3,44,5
6th grade,1,1,21,7,49,6
6th grade,1,3,38,6,65,7
6th grade,1,1,63,9,31,4
6th grade,0,2,51,4,28,5
6th grade,1,2,98,7,43,4
6th grade,0,1,56,8,40,3
6th grade,0,1,29,4,48,5
6th grade,0,3,43,8,43,0
6th grade,1,3,74,8,51,7
6th grade,1,1,33,10,53,6
6th grade,1,1,48,8,42,6
6th grade,0,1,89,9,52,1
6th grade,0,3,96,2,42,5
6th grade,0,3,74,9,30,0
6th grade,0,3,79,8,66,0
6th grade,0,2,53,10,48,1
6th grade,0,2,41,10,21,3
6th grade,0,1,54,1,34,5
6th grade,1,2,1,9,47,6
6th grade,0,1,63,8,45,1
6th grade,0,1,65,8,61,1
6th grade,1,3,37,10,27,2
6th grade,0,1,72,7,51,1
6th grade,1,1,49,10,30,4
6th grade,1,3,44,1,57,9
6th grade,1,1,40,10,52,6
6th grade,1,3,12,9,45,7
6th grade,1,1,22,9,23,2
6th grade,0,1,9,9,66,8
6th grade,1,2,16,10,49,6
6th grade,1,1,3,3,26,9
6th grade,1,1,55,10,49,6
6th grade,1,3,94,8,44,7
6th grade,0,1,11,2,53,5
6th grade,1,1,24,7,26,2
6th grade,0,1,46,10,23,3
6th grade,0,3,15,11,36,0
6th grade,0,3,86,9,40,0
6th grade,0,1,76,11,52,1
6th grade,0,1,43,4,38,5
6th grade,0,1,90,12,27,3
6th grade,0,1,73,5,55,1
6th grade,1,3,71,12,42,7
6th grade,0,2,6,10,53,8
6th grade,0,3,25,10,35,0
6th grade,1,3,95,2,30,9
6th grade,0,1,9,6,43,8
6th grade,0,1,93,5,34,1
6th grade,1,2,99,3,65,9
6th grade,0,2,63,9,26,3
6th grade,0,2,75,10,42,1
6th grade,0,1,13,10,59,8
6th grade,1,1,41,8,64,6
6th grade,0,3,32,6,45,0
6th grade,1,2,60,7,56,7
6th grade,0,1,43,8,39,3
6th grade,1,2,28,9,58,6
6th grade,0,1,50,7,58,1
6th grade,1,2,77,8,49,7
6th grade,0,1,62,9,56,1
6th grade,1,2,74,7,40,4
6th grade,1,1,86,7,42,4
6th grade,1,3,84,7,42,7
6th grade,0,1,30,12,42,8
6th grade,0,3,90,10,43,0
6th grade,1,3,9,7,39,2
6th grade,1,2,1,7,42,6
6th grade,1,2,70,9,24,2
6th grade,0,1,89,10,46,1
6th grade,0,2,54,4,65,5
6th grade,0,1,27,11,43,8
6th grade,1,3,99,7,31,7
6th grade,1,1,98,7,45,4
6th grade,1,1,89,5,41,4
6th grade,0,2,77,10,57,1
6th grade,1,2,31,11,42,2
6th grade,1,3,55,7,66,7
6th grade,1,3,91,12,24,7
6th grade,1,2,79,8,35,4
6th grade,0,1,43,7,34,3
6th grade,1,3,71,9,52,7
6th grade,0,3,74,6,22,0
6th grade,1,1,37,10,52,6
6th grade,1,1,45,9,54,6
6th grade,0,1,9,6,29,3
6th grade,0,1,10,8,28,3
6th grade,0,3,47,11,35,0
6th grade,0,3,98,7,26,0
6th grade,0,1,10,10,41,8
6th grade,0,3,41,5,46,0
6th grade,0,2,69,4,28,5
6th grade,1,1,52,7,51,6
6th grade,1,2,94,10,33,4
6th grade,1,1,89,10,44,4
6th grade,1,1,42,8,42,6
6th grade,1,1,80,10,61,4
6th grade,0,3,7,4,65,0
6th grade,0,2,50,6,62,1
6th grade,1,2,97,3,43,9
6th grade,1,1,30,9,60,6
6th grade,1,1,42,7,38,6
6th grade,1,2,81,9,41,4
6th grade,1,1,65,8,63,6
6th grade,0,2,88,9,65,1
6th grade,0,3,60,9,44,0
6th grade,0,3,78,9,51,0
6th grade,1,3,0,7,33,2
6th grade,1,2,42,8,52,6
6th grade,0,3,8,3,26,5
6th grade,0,1,35,5,46,5
6th grade,0,1,42,9,42,8
6th grade,0,1,5,3,40,5
6th grade,1,2,63,7,31,2
6th grade,0,1,18,9,55,8
6th grade,0,2,48,7,44,0
6th grade,1,1,2,8,54,6
6th grade,1,3,8,7,47,7
6th grade,0,2,85,9,25,3
6th grade,1,3,82,8,41,7
6th grade,1,1,6,10,46,6
6th grade,1,1,91,9,61,4
6th grade,0,3,2,5,37,0
6th grade,0,2,20,9,61,8
6th grade,1,1,74,9,26,4
6th grade,1,3,81,7,66,7
6th grade,1,3,8,12,66,7
6th grade,1,1,6,8,62,6
6th grade,0,1,93,10,23,3
6th grade,1,3,56,1,31,9
6th grade,0,3,38,3,46,5
6th grade,0,3,34,10,25,0
6th grade,0,1,39,10,46,8
6th grade,0,1,18,8,49,8
6th grade,1,1,9,8,44,6
6th grade,0,1,53,10,46,1
6th grade,0,2,16,8,49,8
6th grade,1,1,16,6,25,2
6th grade,0,1,37,9,61,8
6th grade,1,3,11,9,46,7
6th grade,0,2,16,10,43,8
6th grade,1,3,27,8,25,2
6th grade,0,2,86,9,56,1
6th grade,0,3,55,11,61,0
6th grade,0,3,86,10,63,0
6th grade,1,1,59,9,46,4
6th grade,1,3,43,3,46,9
6th grade,0,3,77,11,42,0
6th grade,1,3,55,6,40,7
6th grade,0,3,41,10,42,0
6th grade,0,1,19,10,29,3
6th grade,1,1,55,4,28,9
6th grade,1,1,6,8,30,2
6th grade,0,2,39,7,59,8
6th grade,1,2,36,8,45,6
6th grade,0,1,46,12,43,8
6th grade,1,1,64,11,24,4
6th grade,0,1,49,11,22,3
6th grade,0,1,74,1,43,5
6th grade,1,3,42,8,30,2
6th grade,0,1,39,11,59,8
6th grade,0,1,40,7,39,8
6th grade,1,1,53,10,32,4
6th grade,1,3,58,10,40,7
6th grade,0,3,11,7,32,0
6th grade,0,2,90,11,24,3
6th grade,1,2,59,7,55,7
6th grade,0,1,42,9,41,8
6th grade,1,1,37,8,19,2
6th grade,0,1,29,9,42,8
6th grade,1,2,33,7,35,2
6th grade,0,2,67,8,24,3
6th grade,0,1,63,9,21,3
7th grade,0,1,25,7,34,3
7th grade,0,1,81,1,46,5
7th grade,1,1,66,8,23,4
7th grade,0,3,19,8,46,0
7th grade,0,1,69,8,63,1
7th grade,0,1,83,10,58,1
7th grade,0,1,63,9,56,1
7th grade,0,3,25,5,31,0
7th grade,1,2,19,7,28,2
7th grade,1,1,84,12,22,4
7th grade,0,1,91,12,47,1
7th grade,1,1,16,12,52,6
7th grade,1,2,66,8,57,7
7th grade,1,3,74,9,31,7
7th grade,0,1,98,3,42,5
7th grade,1,2,59,10,43,7
7th grade,1,3,62,8,25,2
7th grade,1,2,66,12,25,2
7th grade,0,3,63,11,46,0
7th grade,1,1,32,8,49,6
7th grade,0,2,79,7,38,1
7th grade,0,2,96,7,54,1
7th grade,0,3,20,8,51,0
7th grade,1,1,26,3,21,9
7th grade,0,2,37,6,30,3
7th grade,1,3,35,9,54,7
7th grade,1,1,22,8,42,6
7th grade,1,3,80,2,52,9
7th grade,0,3,32,6,34,0
7th grade,1,1,35,1,47,9
7th grade,0,1,62,10,35,3
7th grade,0,2,80,12,44,1
7th grade,0,3,23,1,64,5
7th grade,1,1,60,8,60,6
7th grade,1,1,19,10,29,2
7th grade,0,2,16,3,20,5
7th grade,1,1,67,9,39,4
7th grade,0,3,53,2,53,5
7th grade,0,1,94,8,56,1
7th grade,0,2,25,5,59,8
7th grade,0,3,71,6,34,0
7th grade,1,1,32,10,44,6
7th grade,1,3,4,8,61,7
7th grade,0,1,19,11,66,8
7th grade,1,1,67,7,59,6
7th grade,1,3,17,9,40,2
7th grade,0,2,57,9,53,1
7th grade,1,3,21,9,55,7
7th grade,1,3,21,7,48,7
7th grade,0,2,82,8,64,1
7th grade,0,2,96,6,34,1
7th grade,0,2,76,11,63,1
7th grade,0,1,99,9,58,1
7th grade,0,1,33,12,24,3
7th grade,1,1,20,10,58,6
7th grade,0,1,99,9,47,1
7th grade,0,2,77,8,39,1
7th grade,1,1,72,7,32,4
7th grade,0,3,17,8,42,0
7th grade,0,3,23,12,42,0
7th grade,0,1,39,6,49,8
7th grade,0,2,95,5,33,5
7th grade,0,1,31,5,50,8
7th grade,1,3,37,3,46,9
7th grade,1,3,89,9,32,7
7th grade,1,3,57,8,42,7
7th grade,1,1,66,7,23,4
7th grade,0,3,37,10,33,0
7th grade,1,2,32,8,49,6
7th grade,1,1,99,9,31,4
7th grade,1,3,12,7,61,7
7th grade,1,1,41,9,53,6
7th grade,1,2,7,10,34,2
7th grade,0,1,72,8,64,1
7th grade,0,3,71,4,37,0
7th grade,1,3,86,1,23,9
7th grade,0,1,14,8,40,8
7th grade,1,1,48,11,61,6
7th grade,1,2,62,4,54,9
7th grade,0,3,18,8,26,0
7th grade,0,1,23,1,23,5
7th grade,1,2,51,7,44,7
7th grade,1,2,97,1,40,9
7th grade,0,3,12,8,39,0
7th grade,0,1,98,5,40,1
7th grade,0,3,57,9,33,0
7th grade,0,3,94,7,52,0
7th grade,1,1,92,10,27,4
7th grade,0,2,37,7,46,8
7th grade,1,1,22,12,33,2
7th grade,1,1,20,9,54,6
7th grade,0,3,82,10,25,0
7th grade,0,2,9,2,52,5
7th grade,1,1,71,7,41,4
7th grade,0,1,55,12,42,1
7th grade,1,3,50,12,41,7
7th grade,0,2,10,8,49,8
7th grade,0,2,34,10,35,3
7th grade,1,1,14,10,30,2
7th grade,1,3,79,9,63,7
7th grade,0,1,20,6,46,8
7th grade,1,2,14,8,58,6
7th grade,1,3,94,7,41,7
7th grade,0,1,69,12,41,1
7th grade,1,1,3,10,52,6
7th grade,1,2,27,6,57,6
7th grade,1,3,35,8,19,2
7th grade,0,1,52,2,43,5
7th grade,1,1,98,9,66,4
7th grade,0,1,8,8,23,3
7th grade,1,1,13,5,45,6
7th grade,1,3,59,6,22,2
7th grade,0,1,99,2,49,5
7th grade,1,1,32,6,53,6
7th grade,1,1,0,5,35,6
7th grade,1,3,62,12,26,2
7th grade,0,1,13,1,41,5
7th grade,0,1,52,9,63,1
7th grade,1,2,44,5,21,2
7th grade,1,3,96,9,59,7
7th grade,1,1,43,10,40,6
7th grade,0,1,53,4,49,5
7th grade,0,1,86,8,48,1
7th grade,0,3,1,7,42,0
7th grade,1,1,6,12,51,6
7th grade,0,1,90,12,56,1
7th grade,0,1,84,4,47,5
7th grade,0,1,31,7,41,8
7th grade,1,1,26,2,34,9
7th grade,1,2,16,3,19,9
7th grade,1,1,34,7,41,6
7th grade,1,1,83,8,42,4
7th grade,0,3,82,4,40,0
7th grade,1,1,4,6,44,6
7th grade,0,1,49,1,38,5
7th grade,1,2,46,4,50,9
7th grade,0,2,83,4,22,5
7th grade,0,2,21,6,44,8
7th grade,0,3,42,9,61,0
7th grade,1,1,84,1,35,9
7th grade,1,2,24,8,43,6
7th grade,1,3,80,5,42,7
7th grade,0,1,11,8,24,3
7th grade,1,1,14,2,43,9
7th grade,0,1,81,10,41,1
7th grade,0,1,78,12,46,1
7th grade,0,1,92,10,28,3
7th grade,1,1,13,6,31,2
7th grade,0,3,90,8,54,0
7th grade,0,2,6,9,46,8
7th grade,0,3,30,10,56,0
7th grade,1,3,70,8,22,2
7th grade,1,3,2,8,57,7
7th grade,1,2,64,10,42,4
7th grade,0,3,15,4,56,0
7th grade,0,3,59,7,34,0
7th grade,1,2,90,10,34,4
7th grade,0,1,40,8,61,8
7th grade,0,2,98,7,47,1
7th grade,1,1,99,7,32,4
7th grade,0,1,64,8,34,3
7th grade,1,1,48,8,57,6
7th grade,1,3,40,6,57,7
7th grade,0,3,58,4,58,0
7th grade,1,3,2,12,51,7
7th grade,0,2,82,4,64,1
7th grade,1,1,64,8,27,4
7th grade,1,1,47,1,51,9
7th grade,0,1,87,10,42,1
7th grade,1,1,35,12,42,6
7th grade,1,3,96,1,55,9
7th grade,0,3,14,9,27,0
7th grade,1,3,26,2,61,9
7th grade,0,1,14,4,42,5
7th grade,1,3,70,9,40,7
7th grade,1,2,37,7,40,2
7th grade,0,3,87,11,44,0
7th grade,1,1,70,6,34,4
7th grade,0,2,19,10,20,3
7th grade,1,3,53,10,59,7
7th grade,0,3,40,2,28,5
7th grade,0,3,94,4,21,0
7th grade,0,2,64,7,61,1
7th grade,0,1,51,10,38,3
7th grade,1,2,11,10,45,6
7th grade,0,1,71,6,23,3
7th grade,0,3,10,2,41,5
7th grade,0,3,93,7,62,0
7th grade,1,1,33,10,62,6
7th grade,1,1,40,3,45,9
7th grade,0,3,32,12,43,0
7th grade,0,2,75,5,41,5
7th grade,0,3,14,7,43,0
7th grade,1,2,95,7,33,4
7th grade,0,3,0,11,31,0
7th grade,1,2,70,5,54,9
7th grade,0,3,98,11,34,0
7th grade,1,2,25,8,44,6
7th grade,1,3,11,8,29,2
7th grade,1,2,71,11,58,7
7th grade,1,1,18,9,45,6
7th grade,1,1,53,11,58,6
7th grade,0,1,56,5,34,5
7th grade,1,2,59,5,53,9
7th grade,1,2,99,7,35,4
7th grade,0,1,99,8,66,1
7th grade,1,3,59,7,44,7
7th grade,0,1,25,4,52,5
7th grade,0,2,97,11,65,1
7th grade,1,3,37,1,58,9
7th grade,0,3,99,1,42,5
7th grade,1,3,18,11,46,7
7th grade,1,1,93,12,35,4
7th grade,1,2,21,2,51,9
7th grade,0,3,53,1,43,5
7th grade,1,2,42,8,59,6
7th grade,0,3,48,7,45,0
7th grade,0,1,15,10,60,8
7th grade,1,3,24,11,37,2
7th grade,1,1,30,10,32,2
7th grade,1,1,76,6,25,4
7th grade,0,1,93,9,64,1
7th grade,1,2,92,4,42,9
7th grade,1,3,25,4,36,9
7th grade,0,1,38,8,37,3
7th grade,1,2,27,7,20,2
7th grade,1,3,24,5,42,7
7th grade,0,2,56,3,59,5
7th grade,0,1,72,8,40,1
7th grade,0,1,15,1,57,5
7th grade,0,1,58,12,24,3
7th grade,0,1,4,8,39,8
7th grade,1,1,93,8,41,4
7th grade,0,3,35,6,45,0
7th grade,1,2,32,6,60,6
7th grade,0,1,93,1,54,5
7th grade,0,3,33,7,61,0
7th grade,1,1,83,6,31,4
7th grade,1,1,70,12,65,6
7th grade,1,3,19,9,31,2
7th grade,0,2,16,9,18,3
7th grade,1,3,44,2,65,9
7th grade,0,1,9,7,66,8
7th grade,0,1,69,10,42,1
7th grade,1,1,64,2,40,9
7th grade,0,1,54,10,47,1
7th grade,0,1,47,1,41,5
7th grade,0,2,1,1,67,5
7th grade,1,2,15,8,54,6
7th grade,1,1,8,6,29,2
7th grade,0,1,13,5,34,5
7th grade,0,1,12,7,43,8
7th grade,1,1,89,7,36,4
7th grade,1,2,34,7,49,6
7th grade,0,1,72,8,46,1
7th grade,0,1,37,9,42,8
7th grade,1,3,13,9,50,7
7th grade,1,1,15,10,58,6
7th grade,1,1,69,3,20,9
7th grade,0,1,5,4,25,5
7th grade,1,3,75,11,65,7
7th grade,1,1,36,1,56,9
7th grade,0,1,15,10,58,8
7th grade,0,2,41,3,42,5
7th grade,0,1,29,9,46,8
7th grade,1,1,82,9,65,4
7th grade,0,3,43,10,61,0
7th grade,1,1,80,5,41,4
7th grade,0,2,33,10,44,8
7th grade,0,2,79,12,53,1
7th grade,1,3,46,3,47,9
7th grade,1,1,0,11,61,6
7th grade,1,2,49,11,46,7
7th grade,0,1,58,4,26,5
7th grade,0,3,18,9,26,0
7th grade,0,1,38,5,39,5
7th grade,1,1,26,10,46,6
7th grade,1,1,96,11,34,4
7th grade,1,1,94,9,49,4
7th grade,0,3,25,12,53,0
7th grade,0,1,84,8,40,1
7th grade,1,2,21,8,44,6
7th grade,1,3,80,9,40,7
7th grade,1,3,98,10,60,7
7th grade,1,3,26,5,61,7
7th grade,1,1,24,10,55,6
7th grade,1,1,16,9,56,6
7th grade,1,1,30,9,34,2
7th grade,0,3,51,9,39,0
7th grade,0,1,81,6,34,3
7th grade,1,1,1,8,52,6
7th grade,0,1,96,7,47,1
7th grade,0,1,18,8,43,8
7th grade,0,2,45,4,32,5
7th grade,1,1,14,7,42,6
7th grade,0,2,77,1,42,5
7th grade,0,3,19,6,53,0
7th grade,0,1,99,4,50,1
7th grade,1,1,40,10,28,2
7th grade,1,2,26,9,53,6
7th grade,1,1,9,7,58,6
7th grade,1,1,58,8,34,4
7th grade,1,1,10,6,54,6
7th grade,0,2,6,2,35,5
7th grade,0,1,10,8,52,8
7th grade,0,2,15,7,26,3
7th grade,1,1,61,8,56,6
7th grade,1,3,73,9,38,7
7th grade,0,3,42,10,55,0
7th grade,0,1,64,4,36,5
7th grade,0,3,37,10,19,0
7th grade,1,1,41,9,57,6
7th grade,0,1,82,7,60,1
7th grade,1,3,47,9,56,7
7th grade,0,3,58,1,33,5
7th grade,1,2,54,5,44,9
7th grade,0,3,0,12,56,0
7th grade,1,3,69,9,44,7
7th grade,1,2,93,7,40,4
7th grade,0,2,17,8,40,8
7th grade,1,1,3,9,42,6
7th grade,1,1,3,9,43,6
7th grade,1,2,80,10,34,4
7th grade,1,2,11,2,45,9
7th grade,0,3,89,9,35,0
7th grade,0,3,59,7,27,0
7th grade,0,1,43,12,42,8
7th grade,0,1,88,9,64,1
7th grade,1,3,74,7,20,2
7th grade,0,1,50,9,29,3
7th grade,0,1,25,10,19,3
7th grade,1,1,77,6,27,4
7th grade,0,2,76,12,47,1
7th grade,1,1,58,8,31,4
7th grade,0,1,67,6,43,1
7th grade,1,3,13,10,22,2
7th grade,1,2,77,1,34,9
7th grade,1,3,97,10,43,7
7th grade,1,2,86,7,39,4
7th grade,0,1,67,7,44,1
7th grade,1,2,55,9,36,2
7th grade,0,1,0,8,42,8
7th grade,1,1,87,10,59,4
7th grade,1,3,75,12,31,7
7th grade,1,3,11,9,46,7
7th grade,0,1,99,8,62,1
7th grade,1,2,32,7,36,2
7th grade,0,3,15,11,61,0
7th grade,0,1,38,11,34,3
7th grade,0,3,72,9,43,0
7th grade,1,3,27,9,55,7
7th grade,0,1,91,8,32,3
7th grade,0,1,9,8,56,8
7th grade,1,1,62,7,33,4
7th grade,1,1,14,10,42,6
7th grade,1,1,50,6,56,6
7th grade,0,1,36,8,25,3
7th grade,0,1,12,7,28,3
7th grade,1,1,60,1,62,9
7th grade,1,2,96,6,26,4
7th grade,0,1,99,8,65,1
7th grade,0,1,30,3,44,5
7th grade,1,2,57,10,52,7
7th grade,1,1,59,11,21,4
7th grade,1,1,33,6,45,6
7th grade,0,3,70,11,42,0
7th grade,1,1,60,5,34,9
7th grade,0,2,57,4,47,5
7th grade,0,1,86,12,25,3
7th grade,1,1,51,6,26,4
7th grade,0,1,15,8,32,3
7th grade,0,1,34,10,43,8
7th grade,0,3,26,10,42,0
7th grade,0,1,9,6,39,8
7th grade,1,1,27,11,37,6
7th grade,1,3,33,11,59,7
7th grade,0,2,47,11,26,3
7th grade,0,2,40,8,21,3
7th grade,1,1,68,1,42,9
7th grade,0,1,46,5,59,8
7th grade,1,1,45,6,62,6
7th grade,0,2,17,8,58,8
7th grade,1,1,12,9,32,2
7th grade,1,2,64,11,61,7
7th grade,1,1,47,4,28,9
7th grade,1,3,67,10,41,7
7th grade,0,2,37,7,25,3
7th grade,1,1,43,8,55,6
7th grade,1,3,47,2,41,9
7th grade,1,3,3,2,49,9
7th grade,0,1,39,9,43,8
7th grade,0,1,48,10,43,8
7th grade,1,3,32,9,60,7
7th grade,1,2,5,9,35,2
7th grade,1,1,87,5,41,4
7th grade,1,1,79,4,33,9
7th grade,1,3,80,5,22,9
7th grade,0,3,52,10,40,0
7th grade,0,2,81,6,63,1
7th grade,1,3,40,9,54,7
7th grade,0,1,42,9,42,8
7th grade,1,1,97,9,47,4
7th grade,1,2,5,4,47,9
7th grade,1,1,1,1,40,9
7th grade,1,1,12,8,31,2
7th grade,0,1,0,8,24,3
7th grade,1,3,29,1,23,9
7th grade,1,3,74,11,42,7
7th grade,1,1,10,11,60,6
7th grade,0,3,68,7,34,0
7th grade,1,3,0,10,43,2
7th grade,0,2,28,10,46,8
7th grade,1,1,44,8,44,6
7th grade,1,1,62,9,56,6
7th grade,1,1,32,7,34,2
7th grade,1,1,19,12,51,6
7th grade,0,1,50,5,42,5
7th grade,1,1,21,10,34,2
7th grade,0,1,71,4,45,5
7th grade,0,3,16,9,53,0
7th grade,0,1,82,4,26,3
7th grade,0,1,23,1,47,5
7th grade,1,1,2,9,35,6
7th grade,0,3,57,7,26,0
7th grade,1,1,22,10,64,6
7th grade,0,3,45,11,40,0
7th grade,1,3,19,8,49,7
7th grade,0,3,5,8,30,0
7th grade,1,1,11,4,26,9
7th grade,0,3,44,4,43,0
7th grade,1,1,48,2,25,9
7th grade,0,3,46,10,18,0
7th grade,1,1,57,5,23,9
7th grade,0,1,24,2,51,5
7th grade,0,2,94,3,55,5
7th grade,0,2,96,9,44,1
7th grade,1,1,12,9,47,6
7th grade,1,3,51,8,34,7
7th grade,1,1,99,3,51,9
7th grade,1,1,7,9,66,6
7th grade,1,3,12,10,56,7
7th grade,0,1,56,1,62,5
7th grade,0,1,95,9,24,3
7th grade,0,1,11,1,40,5
7th grade,0,1,86,6,61,1
7th grade,1,2,25,5,55,6
7th grade,1,2,65,8,59,7
7th grade,1,2,94,3,56,9
7th grade,1,1,89,12,41,4
7th grade,1,1,38,9,30,2
7th grade,0,3,35,7,32,0
7th grade,0,1,48,7,22,3
7th grade,1,1,0,8,23,2
7th grade,0,1,83,10,54,1
7th grade,1,1,4,10,62,6
7th grade,0,1,94,10,60,1
7th grade,1,3,10,7,45,7
7th grade,1,3,74,7,46,7
7th grade,1,3,22,7,42,7
7th grade,1,2,91,4,22,9
7th grade,1,1,67,10,18,4
7th grade,0,3,36,2,28,5
7th grade,0,3,94,7,27,0
7th grade,0,3,58,1,27,5
7th grade,1,1,64,5,65,6
7th grade,1,2,54,7,35,2
7th grade,0,1,47,1,22,5
7th grade,1,3,6,5,61,7
7th grade,1,1,37,7,42,6
7th grade,1,3,65,8,40,7
7th grade,0,2,40,6,64,8
7th grade,0,1,17,7,57,8
7th grade,0,3,22,5,43,0
7th grade,0,3,67,4,52,0
7th grade,0,1,52,9,20,3
7th grade,0,1,71,11,53,1
7th grade,1,1,69,8,39,4
7th grade,1,3,21,9,43,7
7th grade,0,3,54,8,43,0
7th grade,0,1,53,8,43,1
7th grade,1,2,12,6,61,6
7th grade,0,3,31,11,34,0
7th grade,1,1,96,9,46,4
7th grade,1,3,52,6,43,7
7th grade,0,1,3,2,33,5
7th grade,0,2,22,6,42,8
7th grade,1,1,36,6,47,6
7th grade,0,1,18,6,45,8
7th grade,1,1,27,5,26,2
7th grade,1,3,38,11,34,2
7th grade,1,1,92,7,29,4
7th grade,1,2,11,8,60,6
7th grade,1,2,54,4,32,9
7th grade,1,3,91,10,50,7
7th grade,0,3,58,6,34,0
7th grade,0,3,2,6,36,0
7th grade,1,1,59,9,46,4
7th grade,0,2,94,2,56,5
7th grade,0,3,85,8,32,0
7th grade,1,2,19,10,33,2
7th grade,0,1,74,9,22,3
7th grade,1,1,83,9,41,4
7th grade,0,3,30,9,65,0
7th grade,0,1,23,10,37,8
7th grade,0,1,68,4,42,5
7th grade,0,1,92,10,43,1
7th grade,0,3,89,10,56,0
7th grade,0,1,98,9,46,1
7th grade,0,3,24,7,46,0
7th grade,1,1,55,9,19,2
7th grade,1,2,51,8,29,2
7th grade,0,1,51,9,61,1
7th grade,1,3,42,6,34,7
7th grade,0,3,71,9,22,0
7th grade,0,2,53,8,56,1
7th grade,0,1,25,8,35,8
7th grade,1,1,85,10,52,4
7th grade,1,2,51,7,41,7
7th grade,1,2,37,7,61,6
7th grade,0,3,23,3,39,5
7th grade,0,2,27,11,58,8
7th grade,1,1,92,9,37,4
7th grade,0,2,16,7,53,8
7th grade,1,2,16,11,25,2
7th grade,1,2,48,10,64,7
7th grade,1,1,18,11,42,6
7th grade,0,2,63,11,25,3
7th grade,1,3,40,7,38,7
7th grade,0,2,66,8,38,3
7th grade,1,1,51,9,67,6
7th grade,1,1,9,2,61,9
7th grade,1,3,27,3,58,9
7th grade,1,2,30,11,34,2
7th grade,0,3,45,5,62,0
7th grade,0,1,28,6,20,3
7th grade,1,1,62,2,64,9
7th grade,1,1,36,11,42,6
7th grade,0,2,7,10,23,3
7th grade,1,1,70,8,33,4
7th grade,1,1,27,3,40,9
7th grade,0,3,2,9,27,0
7th grade,0,1,42,10,52,8
7th grade,0,2,22,9,22,3
7th grade,1,3,12,10,25,2
7th grade,0,1,11,7,24,3
7th grade,0,1,23,8,35,8
7th grade,0,3,63,5,29,0
7th grade,1,1,3,10,34,2
7th grade,0,1,81,8,33,3
7th grade,0,3,10,5,34,0
7th grade,1,2,56,9,45,7
7th grade,0,1,82,7,61,1
7th grade,1,3,26,9,43,7
7th grade,1,1,37,4,65,6
7th grade,1,3,48,5,39,7
7th grade,1,2,47,6,54,7
7th grade,0,1,18,3,49,5
7th grade,0,3,98,3,60,5
7th grade,1,2,8,7,64,6
7th grade,1,2,12,4,56,9
7th grade,0,1,94,9,33,1
7th grade,1,2,48,8,24,2
7th grade,0,2,7,8,53,8
7th grade,1,2,28,3,61,9
7th grade,0,2,28,5,33,5
7th grade,1,2,46,2,49,9
7th grade,0,1,28,4,25,5
7th grade,1,3,20,7,34,2
7th grade,1,3,11,10,34,2
7th grade,0,1,33,5,23,3
7th grade,0,2,13,7,38,8
7th grade,0,1,77,1,39,5
7th grade,1,2,81,4,63,9
7th grade,0,1,81,8,56,1
7th grade,0,1,83,8,28,3
7th grade,0,1,75,3,32,5
7th grade,0,1,73,12,51,1
7th grade,1,1,11,3,25,9
7th grade,1,1,34,6,23,2
7th grade,0,3,44,1,22,5
7th grade,0,3,10,5,50,0
7th grade,0,3,49,2,42,5
7th grade,0,1,10,8,65,8
7th grade,1,1,42,12,53,6
7th grade,1,2,83,8,59,7
7th grade,0,1,79,10,53,1
7th grade,1,1,54,8,36,4
7th grade,1,2,22,10,33,2
7th grade,1,2,52,8,46,7
7th grade,0,3,60,8,58,0
7th grade,1,3,67,10,58,7
7th grade,0,1,87,5,40,1
7th grade,0,3,7,2,51,5
7th grade,1,1,23,11,41,6
7th grade,0,2,83,8,42,1
7th grade,1,2,77,2,35,9
7th grade,1,3,54,5,33,7
7th grade,0,1,39,8,28,3
7th grade,0,1,41,6,45,8
7th grade,0,2,88,7,30,3
7th grade,1,2,57,4,61,9
7th grade,0,1,45,7,60,8
7th grade,1,2,9,11,63,6
7th grade,0,2,79,10,29,3
7th grade,1,1,75,9,62,4
7th grade,1,3,75,7,46,7
7th grade,0,1,52,9,50,1
7th grade,0,1,23,8,31,3
7th grade,1,2,3,10,62,6
7th grade,0,1,19,8,42,8
7th grade,0,1,78,6,36,1
7th grade,1,2,55,1,23,9
7th grade,1,2,76,12,65,7
7th grade,0,1,58,8,19,3
7th grade,1,1,60,7,23,4
7th grade,0,2,53,4,39,5
7th grade,1,3,98,7,21,4
7th grade,1,2,6,4,57,6
7th grade,1,3,68,8,22,2
7th grade,0,3,42,9,43,0
7th grade,1,1,76,7,37,4
7th grade,1,2,76,10,42,4
7th grade,0,1,89,8,43,1
7th grade,0,3,32,6,58,0
7th grade,1,3,74,2,46,9
7th grade,1,2,67,10,60,7
7th grade,0,2,11,2,24,5
7th grade,1,2,24,7,44,6
7th grade,1,1,73,7,32,4
7th grade,0,3,67,2,64,5
7th grade,1,1,44,11,51,6
7th grade,0,3,30,11,30,0
7th grade,0,1,42,8,42,8
7th grade,1,2,80,5,44,9
7th grade,0,1,97,10,30,3
7th grade,1,3,41,11,19,2
7th grade,0,3,43,12,42,0
7th grade,1,1,20,10,22,2
